Evaluation/100instances/transT_eval_mean,_timestamp,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/global_critic_loss,Evaluation/100instances/obj_eval_std,_step,Evaluation/100instances/transT_eval_std,Evaluation/100instances/mk_eval_std,Evaluation/100instances/obj_eval_mean,_runtime,Training/Update/job_actor_loss,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_mean
,1746619037.8222713,,,,,,,1268,,,,20728.220902755,,,
263.3302989866964,1746619130.8962777,287.0496374842622,591.8870543204262,75.21655188232056,1127.720673657836,0.528311550617218,148.65359642678183,1269,41.81986105550333,75.99273502551779,950.1497851753493,20821.295212668,0.17023828625679016,0.1643977165222168,524.101585466763
,1746619138.897446,,,,,,,1270,,,,20829.296081311,,,
,1746619142.761824,,,,,,,1271,,,,20833.160633764,,,
,1746619146.7477267,,,,,,,1272,,,,20837.14636837,,,
,1746619150.9794164,,,,,,,1273,,,,20841.377984776,,,
,1746619188.4375188,,,,,0.5074326992034912,,1274,,,,20878.8362238,0.2001188099384308,0.10065779834985733,
,1746619196.1966338,,,,,,,1275,,,,20886.596734372,,,
,1746619200.084891,,,,,,,1276,,,,20890.483401308,,,
,1746619204.0434048,,,,,,,1277,,,,20894.44202204,,,
,1746619207.6492176,,,,,,,1278,,,,20898.047770321,,,
277.90292793153475,1746619295.8157587,239.30215916885567,558.0314784133816,76.78079953427485,1004.8836016170842,0.5979558229446411,130.85009328548048,1279,39.018170590074575,71.90959437347355,890.3907425634912,20986.214748048,0.17501698434352875,0.12255752086639404,524.1103124124946
,1746619303.705017,,,,,,,1280,,,,20994.103693741,,,
,1746619307.5960102,,,,,,,1281,,,,20997.994588076,,,
,1746619311.1163828,,,,,,,1282,,,,21001.514921562,,,
,1746619314.779047,,,,,,,1283,,,,21005.177638747,,,
,1746619352.638489,,,,,0.49836310744285583,,1284,,,,21043.037292688,0.12347569316625595,0.10489130020141602,
,1746619360.0363233,,,,,,,1285,,,,21050.434963871,,,
,1746619363.8730628,,,,,,,1286,,,,21054.271716739,,,
,1746619367.7806168,,,,,,,1287,,,,21058.179221287,,,
,1746619371.6531878,,,,,,,1288,,,,21062.051936484,,,
265.4627350283589,1746619461.6730149,214.70963484203645,537.9654144396279,80.0161880138593,897.7228894944019,0.5146278738975525,126.13251967638034,1289,43.53031350988382,68.01134099312027,837.9691985464925,21152.072108963,0.10393641144037247,0.08693025261163712,526.5033249180218
,1746619469.5118194,,,,,,,1290,,,,21159.910480977,,,
,1746619473.3490977,,,,,,,1291,,,,21163.747740769,,,
,1746619476.963298,,,,,,,1292,,,,21167.361806136,,,
,1746619480.9043067,,,,,,,1293,,,,21171.304064818,,,
,1746619518.9101598,,,,,0.4687812030315399,,1294,,,,21209.308980817,0.14818203449249268,0.10945036262273788,
,1746619526.9898238,,,,,,,1295,,,,21217.388370754,,,
,1746619530.969795,,,,,,,1296,,,,21221.368449347,,,
,1746619534.9164147,,,,,,,1297,,,,21225.314968498,,,
,1746619538.7089796,,,,,,,1298,,,,21229.107587453,,,
